brand_clean_encoded,condition_encoded,location_clean_encoded,phone_model_clean_encoded,storage_gb,ram_gb,is_member_flag,price,title,brand,model,condition,location,storage,ram,phone_model,brand_clean,location_clean,phone_model_clean
0,1,9,97,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,72900.0,Apple iPhone 11 128GB (Used),Apple,iPhone 11 128GB,Used,Kandy,128GB,Unknown,iPhone 11,Apple,Kandy,iPhone 11
0,1,6,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,59000.0,Apple iPhone 11 128gb (Used),Apple,iPhone 11 128gb,Used,Gampaha,128GB,Unknown,iPhone 11 128gb,Apple,Gampaha,Other
0,1,6,99,1.1670253922213827,-0.04410889209389428,0.7196605824810245,89998.0,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,Used,Gampaha,256GB,Unknown,iPhone 11 Pro,Apple,Gampaha,iPhone 11 Pro
0,1,9,67,-0.7640667986231027,-0.04410889209389428,-1.3895439382722716,25000.0,Apple iPhone 8 64Gb (Used),Apple,iPhone 8 64Gb,Used,Kandy,64GB,Unknown,iPhone 8 64Gb,Apple,Kandy,Other
10,1,4,67,-0.12036940167494091,-0.40199036952914174,0.7196605824810245,35990.0,Samsung Galaxy A24 128GB 4GBRam Black (Used),Samsung,Galaxy A24 128GB 4GBRam Black,Used,Colombo,128GB,4GB,Galaxy A24 Black,Samsung,Colombo,Other
0,1,9,109,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,129900.0,Apple iPhone 14 128GB (Used),Apple,iPhone 14 128GB,Used,Kandy,128GB,Unknown,iPhone 14,Apple,Kandy,iPhone 14
5,1,5,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,2500.0,Nokia 106 (Used),Nokia,106,Used,Galle,Unknown,Unknown,106,Nokia,Galle,Other
14,1,6,60,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,33500.0,Xiaomi Redmi Note 13 (Used),Xiaomi,Redmi Note 13,Used,Gampaha,Unknown,Unknown,Note 13,Xiaomi,Gampaha,Note 13
12,1,4,67,-1.3876486519166344,-0.5809311082467654,0.7196605824810245,17000.0,Tecno Pop 7 (2+2GB/64GB) (Used),Tecno,Pop 7 (2+2GB/64GB),Used,Colombo,2GB,2GB,Pop 7 (2,Tecno,Colombo,Other
0,1,9,121,1.1670253922213827,-0.04410889209389428,0.7196605824810245,269900.0,Apple iPhone 16 Pro 256GB (Used),Apple,iPhone 16 Pro 256GB,Used,Kandy,256GB,Unknown,iPhone 16 Pro,Apple,Kandy,iPhone 16 Pro
0,1,0,99,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,70000.0,Apple iPhone 11 Pro (Used),Apple,iPhone 11 Pro,Used,Ampara,Unknown,Unknown,iPhone 11 Pro,Apple,Ampara,iPhone 11 Pro
1,0,4,67,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,95490.0,Google Pixel 7 8GB|128GB|50MP (Brand New),Google,Pixel 7 8GB|128GB|50MP,Brand New,Colombo,8GB,8GB,Pixel 7 50MP,Google,Colombo,Other
13,1,4,67,-1.246839846334224,-0.04410889209389428,0.7196605824810245,359900.0,Vivo X300 Pro 16GB 512GB (Used),Vivo,X300 Pro 16GB 512GB,Used,Colombo,16GB,Unknown,X300 Pro,Vivo,Colombo,Other
0,1,6,111,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,162900.0,Apple iPhone 14 Pro 128GB Full Set (Used),Apple,iPhone 14 Pro 128GB Full Set,Used,Gampaha,128GB,Unknown,iPhone 14 Pro,Apple,Gampaha,iPhone 14 Pro
0,1,4,107,1.1670253922213827,-0.04410889209389428,0.7196605824810245,130000.0,Apple iPhone 13 Pro Max 256GB (Used),Apple,iPhone 13 Pro Max 256GB,Used,Colombo,256GB,Unknown,iPhone 13 Pro Max,Apple,Colombo,iPhone 13 Pro Max
0,1,4,105,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,95000.0,Apple iPhone 13 128GB (Used),Apple,iPhone 13 128GB,Used,Colombo,128GB,Unknown,iPhone 13,Apple,Colombo,iPhone 13
0,1,4,109,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,118900.0,Apple iPhone 14 (Used),Apple,iPhone 14,Used,Colombo,Unknown,Unknown,iPhone 14,Apple,Colombo,iPhone 14
1,1,4,74,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,74990.0,Google Pixel 7 128GB (Used),Google,Pixel 7 128GB,Used,Colombo,128GB,Unknown,Pixel 7,Google,Colombo,Pixel 7
10,0,4,51,-1.2870709336434842,0.31377258534135316,0.7196605824810245,286500.0,Samsung Galaxy S24 Ultra 12GB | 512GB (Brand New),Samsung,Galaxy S24 Ultra 12GB | 512GB,Brand New,Colombo,12GB,12GB,Galaxy S24 Ultra,Samsung,Colombo,Galaxy S24 Ultra
10,0,4,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,151990.0,Samsung Galaxy S24 8/256GB. (Brand New),Samsung,Galaxy S24 8/256GB.,Brand New,Colombo,256GB,Unknown,Galaxy S24 8,Samsung,Colombo,Other
0,1,6,134,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,27000.0,Apple iPhone X (Used),Apple,iPhone X,Used,Gampaha,Unknown,Unknown,iPhone X,Apple,Gampaha,iPhone X
1,1,9,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,93000.0,Google Pixel 8 8/128GB (Used),Google,Pixel 8 8/128GB,Used,Kandy,128GB,Unknown,Pixel 8 8,Google,Kandy,Other
7,1,9,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,21500.0,Oppo A15s 2021 (Used),Oppo,A15s 2021,Used,Kandy,Unknown,Unknown,A15s 2021,Oppo,Kandy,Other
0,1,4,102,1.1670253922213827,-0.04410889209389428,0.7196605824810245,93500.0,Apple iPhone 12 Pro 256GB (Used),Apple,iPhone 12 Pro 256GB,Used,Colombo,256GB,Unknown,iPhone 12 Pro,Apple,Colombo,iPhone 12 Pro
0,1,4,97,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,58900.0,Apple iPhone 11 (Used),Apple,iPhone 11,Used,Colombo,Unknown,Unknown,iPhone 11,Apple,Colombo,iPhone 11
10,0,4,54,-1.2870709336434842,0.31377258534135316,0.7196605824810245,224500.0,Samsung Galaxy S25 Plus 12GB | 256GB (Brand New),Samsung,Galaxy S25 Plus 12GB | 256GB,Brand New,Colombo,12GB,12GB,Galaxy S25 Plus,Samsung,Colombo,Galaxy S25 Plus
0,1,5,99,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,50000.0,Apple iPhone 11 Pro (Used),Apple,iPhone 11 Pro,Used,Galle,Unknown,Unknown,iPhone 11 Pro,Apple,Galle,iPhone 11 Pro
0,1,11,106,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,130000.0,Apple iPhone 13 Pro (Used),Apple,iPhone 13 Pro,Used,Matara,Unknown,Unknown,iPhone 13 Pro,Apple,Matara,iPhone 13 Pro
0,1,6,100,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,105000.0,Apple iPhone 11 Pro Max (Used),Apple,iPhone 11 Pro Max,Used,Gampaha,Unknown,Unknown,iPhone 11 Pro Max,Apple,Gampaha,iPhone 11 Pro Max
10,0,4,52,-1.2870709336434842,0.31377258534135316,0.7196605824810245,204500.0,Samsung Galaxy S25 12GB | 256GB (Brand New),Samsung,Galaxy S25 12GB | 256GB,Brand New,Colombo,12GB,12GB,Galaxy S25,Samsung,Colombo,Galaxy S25
0,1,4,115,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,132000.0,Apple iPhone 15 128GB (Used),Apple,iPhone 15 128GB,Used,Colombo,128GB,Unknown,iPhone 15,Apple,Colombo,iPhone 15
10,0,4,53,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,155500.0,Samsung Galaxy S25 FE 8GB | 256GB (Brand New),Samsung,Galaxy S25 FE 8GB | 256GB,Brand New,Colombo,8GB,8GB,Galaxy S25 FE,Samsung,Colombo,Galaxy S25 FE
0,1,4,101,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,75900.0,Apple iPhone 12 128GB (Used),Apple,iPhone 12 128GB,Used,Colombo,128GB,Unknown,iPhone 12,Apple,Colombo,iPhone 12
1,1,4,80,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,180990.0,Google Pixel 9 Pro 128GB (Used),Google,Pixel 9 Pro 128GB,Used,Colombo,128GB,Unknown,Pixel 9 Pro,Google,Colombo,Pixel 9 Pro
0,1,6,109,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,118000.0,Apple iPhone 14 128GB (Used),Apple,iPhone 14 128GB,Used,Gampaha,128GB,Unknown,iPhone 14,Apple,Gampaha,iPhone 14
10,0,4,56,1.1670253922213827,-0.04410889209389428,0.7196605824810245,276990.0,Samsung Galaxy S25 Ultra 12/256GB. (Brand New),Samsung,Galaxy S25 Ultra 12/256GB.,Brand New,Colombo,256GB,Unknown,Galaxy S25 Ultra 12,Samsung,Colombo,Galaxy S25 Ultra 12
0,1,14,97,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,30000.0,Apple iPhone 11 (Used),Apple,iPhone 11,Used,Ratnapura,Unknown,Unknown,iPhone 11,Apple,Ratnapura,iPhone 11
0,1,9,108,1.1670253922213827,-0.04410889209389428,-1.3895439382722716,77500.0,Apple iPhone 13 mini 256GB (Used),Apple,iPhone 13 mini 256GB,Used,Kandy,256GB,Unknown,iPhone 13 mini,Apple,Kandy,iPhone 13 mini
0,1,4,102,1.1670253922213827,-0.04410889209389428,0.7196605824810245,102999.0,Apple iPhone 12 Pro 256GB (Used),Apple,iPhone 12 Pro 256GB,Used,Colombo,256GB,Unknown,iPhone 12 Pro,Apple,Colombo,iPhone 12 Pro
1,1,4,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,39900.0,Google Pixel 5 5G 128GB 8GB RAM (Used),Google,Pixel 5 5G 128GB 8GB RAM,Used,Colombo,128GB,8GB,Pixel 5,Google,Colombo,Other
0,1,4,111,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,164900.0,Apple iPhone 14 Pro (Used),Apple,iPhone 14 Pro,Used,Colombo,Unknown,Unknown,iPhone 14 Pro,Apple,Colombo,iPhone 14 Pro
0,0,4,115,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,178990.0,Apple iPhone 15 128GB (Brand New),Apple,iPhone 15 128GB,Brand New,Colombo,128GB,Unknown,iPhone 15,Apple,Colombo,iPhone 15
8,1,4,67,-1.3675331082620044,-0.04410889209389428,0.7196605824810245,21000.0,LG Q52 4GB 64GB (Used),LG,Q52 4GB 64GB,Used,Colombo,4GB,Unknown,Q52,Other,Colombo,Other
10,0,4,25,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,57900.0,Samsung Galaxy A17 5G 8GB+256GB (Brand New),Samsung,Galaxy A17 5G 8GB+256GB,Brand New,Colombo,8GB,Unknown,Galaxy A17,Samsung,Colombo,Galaxy A17
0,0,4,119,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,228000.0,Apple iPhone 16 128GB (Brand New),Apple,iPhone 16 128GB,Brand New,Colombo,128GB,Unknown,iPhone 16,Apple,Colombo,iPhone 16
0,0,4,126,1.1670253922213827,-0.04410889209389428,0.7196605824810245,440000.0,Apple iPhone 17 Pro Max 256GB. (Brand New),Apple,iPhone 17 Pro Max 256GB.,Brand New,Colombo,256GB,Unknown,iPhone 17 Pro Max,Apple,Colombo,iPhone 17 Pro Max
0,1,6,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,115000.0,Apple iPhone 12 Pro Max 5G/256/full set box (Used),Apple,iPhone 12 Pro Max 5G/256/full set box,Used,Gampaha,Unknown,Unknown,iPhone 12 Pro Max /256/ box,Apple,Gampaha,Other
10,1,1,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,11000.0,Samsung Galaxy A04 (Used),Samsung,Galaxy A04,Used,Anuradhapura,Unknown,Unknown,Galaxy A04,Samsung,Anuradhapura,Other
0,0,4,115,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,184990.0,Apple iPhone 15 (Brand New),Apple,iPhone 15,Brand New,Colombo,Unknown,Unknown,iPhone 15,Apple,Colombo,iPhone 15
14,1,4,67,-1.3876486519166344,-0.04410889209389428,0.7196605824810245,24000.0,Xiaomi Redmi 13C 4+2GB 128GB (Used),Xiaomi,Redmi 13C 4+2GB 128GB,Used,Colombo,2GB,Unknown,13C 4,Xiaomi,Colombo,Other
0,0,4,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,264500.0,Apple iPhone 17 256GB. {ESIM} (Brand New),Apple,iPhone 17 256GB. {ESIM},Brand New,Colombo,256GB,Unknown,iPhone 17 . {ESIM,Apple,Colombo,Other
0,0,4,119,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,228000.0,Apple iPhone 16 128GB (Brand New),Apple,iPhone 16 128GB,Brand New,Colombo,128GB,Unknown,iPhone 16,Apple,Colombo,iPhone 16
0,1,6,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,115000.0,Apple iPhone 12 Pro Max 5G/256/full set (Used),Apple,iPhone 12 Pro Max 5G/256/full set,Used,Gampaha,Unknown,Unknown,iPhone 12 Pro Max /256,Apple,Gampaha,Other
10,0,4,34,-1.3675331082620044,-0.40199036952914174,0.7196605824810245,28900.0,Samsung Galaxy F07 4GB | 64GB (Brand New),Samsung,Galaxy F07 4GB | 64GB,Brand New,Colombo,4GB,4GB,Galaxy F07,Samsung,Colombo,Galaxy F07
0,0,4,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,372500.0,Apple iPhone 17 Pro 256GB. {ESIM} (Brand New),Apple,iPhone 17 Pro 256GB. {ESIM},Brand New,Colombo,256GB,Unknown,iPhone 17 Pro . {ESIM,Apple,Colombo,Other
14,1,4,3,-1.3474175646073743,-0.04410889209389428,0.7196605824810245,28000.0,Xiaomi Redmi 14C 6GB 128GB (Used),Xiaomi,Redmi 14C 6GB 128GB,Used,Colombo,6GB,Unknown,14C,Xiaomi,Colombo,14C
0,1,6,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,115000.0,Apple iPhone 12 Pro Max 5G/256/full set (Used),Apple,iPhone 12 Pro Max 5G/256/full set,Used,Gampaha,Unknown,Unknown,iPhone 12 Pro Max /256,Apple,Gampaha,Other
1,1,4,71,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,55000.0,Google Pixel 6 128GB (Used),Google,Pixel 6 128GB,Used,Colombo,128GB,Unknown,Pixel 6,Google,Colombo,Pixel 6
10,0,4,19,-1.3675331082620044,-0.40199036952914174,0.7196605824810245,29750.0,Samsung Galaxy A07 4GB | 64GB (Brand New),Samsung,Galaxy A07 4GB | 64GB,Brand New,Colombo,4GB,4GB,Galaxy A07,Samsung,Colombo,Galaxy A07
0,1,4,105,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,105000.0,Apple iPhone 13 128GB (Used),Apple,iPhone 13 128GB,Used,Colombo,128GB,Unknown,iPhone 13,Apple,Colombo,iPhone 13
10,0,4,19,-1.3474175646073743,-0.04410889209389428,0.7196605824810245,34990.0,Samsung Galaxy A07 6GB+128GB (Brand New),Samsung,Galaxy A07 6GB+128GB,Brand New,Colombo,6GB,Unknown,Galaxy A07,Samsung,Colombo,Galaxy A07
0,1,4,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,267000.0,Apple iPhone Air 100% BH 15 CC (Used),Apple,iPhone Air 100% BH 15 CC,Used,Colombo,Unknown,Unknown,iPhone Air 100% BH 15 CC,Apple,Colombo,Other
10,1,11,33,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,21000.0,Samsung Galaxy F05 (Used),Samsung,Galaxy F05,Used,Matara,Unknown,Unknown,Galaxy F05,Samsung,Matara,Galaxy F05
0,1,4,98,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,67000.0,Apple iPhone 11 Full Set Box (Used),Apple,iPhone 11 Full Set Box,Used,Colombo,Unknown,Unknown,iPhone 11 Box,Apple,Colombo,iPhone 11 Box
0,1,4,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,78000.0,Apple iPhone 12 Full set box (Used),Apple,iPhone 12 Full set box,Used,Colombo,Unknown,Unknown,iPhone 12 box,Apple,Colombo,Other
10,0,4,19,-1.3675331082620044,-0.40199036952914174,0.7196605824810245,33200.0,Samsung Galaxy A07 4GB | 128GB (Brand New),Samsung,Galaxy A07 4GB | 128GB,Brand New,Colombo,4GB,4GB,Galaxy A07,Samsung,Colombo,Galaxy A07
0,1,6,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,115000.0,Apple iPhone 12 Pro Max 5G/256/full set (Used),Apple,iPhone 12 Pro Max 5G/256/full set,Used,Gampaha,Unknown,Unknown,iPhone 12 Pro Max /256,Apple,Gampaha,Other
0,1,10,111,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,145000.0,Apple iPhone 14 Pro (Used),Apple,iPhone 14 Pro,Used,Kurunegala,Unknown,Unknown,iPhone 14 Pro,Apple,Kurunegala,iPhone 14 Pro
0,0,4,115,-1.3474175646073743,-0.22304963081151802,0.7196605824810245,182990.0,Apple iPhone 15 6GB |128GB (Brand New),Apple,iPhone 15 6GB |128GB,Brand New,Colombo,6GB,6GB,iPhone 15,Apple,Colombo,iPhone 15
0,1,8,105,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,99998.0,Apple iPhone 13 128GB 5G+ (Used),Apple,iPhone 13 128GB 5G+,Used,Kalutara,128GB,Unknown,iPhone 13,Apple,Kalutara,iPhone 13
10,0,4,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,152500.0,Samsung Galaxy S24 8/256GB (Brand New),Samsung,Galaxy S24 8/256GB,Brand New,Colombo,256GB,Unknown,Galaxy S24 8,Samsung,Colombo,Other
10,0,4,49,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,151000.0,Samsung Galaxy S24 8GB 256GB (Brand New),Samsung,Galaxy S24 8GB 256GB,Brand New,Colombo,8GB,Unknown,Galaxy S24,Samsung,Colombo,Galaxy S24
0,1,4,111,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,162000.0,Apple iPhone 14 Pro 5G Fullset (Used),Apple,iPhone 14 Pro 5G Fullset,Used,Colombo,Unknown,Unknown,iPhone 14 Pro,Apple,Colombo,iPhone 14 Pro
10,0,4,19,-1.3474175646073743,-0.22304963081151802,0.7196605824810245,35650.0,Samsung Galaxy A07 6GB | 128GB (Brand New),Samsung,Galaxy A07 6GB | 128GB,Brand New,Colombo,6GB,6GB,Galaxy A07,Samsung,Colombo,Galaxy A07
10,0,9,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,114990.0,Samsung Galaxy S23 256GB SEAL PACK NEW (Brand New),Samsung,Galaxy S23 256GB SEAL PACK NEW,Brand New,Kandy,256GB,Unknown,Galaxy S23 SEAL PACK NEW,Samsung,Kandy,Other
0,0,4,115,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,193000.0,Apple iPhone 15 128GB (Brand New),Apple,iPhone 15 128GB,Brand New,Colombo,128GB,Unknown,iPhone 15,Apple,Colombo,iPhone 15
10,0,4,19,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,41800.0,Samsung Galaxy A07 8GB | 256GB (Brand New),Samsung,Galaxy A07 8GB | 256GB,Brand New,Colombo,8GB,8GB,Galaxy A07,Samsung,Colombo,Galaxy A07
1,1,4,73,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,49500.0,Google Pixel 6a 128GB (Used),Google,Pixel 6a 128GB,Used,Colombo,128GB,Unknown,Pixel 6a,Google,Colombo,Pixel 6a
0,1,4,97,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,59800.0,Apple iPhone 11 (Used),Apple,iPhone 11,Used,Colombo,Unknown,Unknown,iPhone 11,Apple,Colombo,iPhone 11
0,1,4,97,1.1670253922213827,-0.04410889209389428,0.7196605824810245,75000.0,Apple iPhone 11 256GB (Used),Apple,iPhone 11 256GB,Used,Colombo,256GB,Unknown,iPhone 11,Apple,Colombo,iPhone 11
12,1,6,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,30000.0,Tecno Spark 10 Pro (Used),Tecno,Spark 10 Pro,Used,Gampaha,Unknown,Unknown,Spark 10 Pro,Tecno,Gampaha,Other
5,0,5,0,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,2990.0,Nokia 105 (Brand New),Nokia,105,Brand New,Galle,Unknown,Unknown,105,Nokia,Galle,105
2,0,6,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,45600.0,Honor X9D Down payment (Brand New),Honor,X9D Down payment,Brand New,Gampaha,Unknown,Unknown,X9D Down payment,Honor,Gampaha,Other
0,1,4,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,85000.0,Apple iPhone 13 mini 5G- cinematic (Used),Apple,iPhone 13 mini 5G- cinematic,Used,Colombo,Unknown,Unknown,iPhone 13 mini - cinematic,Apple,Colombo,Other
0,1,4,116,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,167000.0,Apple iPhone 15 Plus 128GB (Used),Apple,iPhone 15 Plus 128GB,Used,Colombo,128GB,Unknown,iPhone 15 Plus,Apple,Colombo,iPhone 15 Plus
5,0,11,0,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,3500.0,Nokia 105 (Brand New),Nokia,105,Brand New,Matara,Unknown,Unknown,105,Nokia,Matara,105
1,1,4,78,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,120990.0,Google Pixel 8 Pro 128GB (Used),Google,Pixel 8 Pro 128GB,Used,Colombo,128GB,Unknown,Pixel 8 Pro,Google,Colombo,Pixel 8 Pro
10,0,4,25,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,60630.0,Samsung Galaxy A17 5G (Brand New),Samsung,Galaxy A17 5G,Brand New,Colombo,Unknown,Unknown,Galaxy A17,Samsung,Colombo,Galaxy A17
14,0,4,65,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,76430.0,Xiaomi Redmi Note 15 (Brand New),Xiaomi,Redmi Note 15,Brand New,Colombo,Unknown,Unknown,Note 15,Xiaomi,Colombo,Note 15
0,1,4,101,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,72490.0,Apple iPhone 12 128GB (Used),Apple,iPhone 12 128GB,Used,Colombo,128GB,Unknown,iPhone 12,Apple,Colombo,iPhone 12
14,0,4,12,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,34630.0,Xiaomi Redmi A5 (Brand New),Xiaomi,Redmi A5,Brand New,Colombo,Unknown,Unknown,A5,Xiaomi,Colombo,A5
0,0,4,119,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,207000.0,Apple iPhone 16 (Brand New),Apple,iPhone 16,Brand New,Colombo,Unknown,Unknown,iPhone 16,Apple,Colombo,iPhone 16
10,1,10,67,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,15500.0,Samsung Galaxy A50 (Used),Samsung,Galaxy A50,Used,Kurunegala,Unknown,Unknown,Galaxy A50,Samsung,Kurunegala,Other
